daily_income,daily_expense,goal_type,goal_amount,daily_saving_capacity,recommended_daily_saving,months_to_reach_goal,profile_type
988,500,House Downpayment,1628824,488.0,198.8,115.43,urban
2538,981,Marriage,206627,1557.0,681.91,4.23,student
975,290,Education,354893,685.0,248.52,17.46,urban
1824,1179,Gold,73454,645.0,242.62,4.05,student
1354,766,Marriage,674905,588.0,207.15,41.09,student
579,496,Marriage,674278,83.0,35.58,275.82,student
1221,892,Education,269934,329.0,109.32,26.55,student
430,205,Gold,162417,225.0,95.31,26.06,rural
413,102,Bike,122897,311.0,128.58,12.57,student
881,454,House Downpayment,1616339,427.0,202.96,120.75,student
1404,891,Education,470398,513.0,241.19,32.91,rural
445,258,Bike,68480,187.0,85.23,11.01,urban
565,167,Gold,96845,398.0,138.92,8.09,student
303,241,Emergency Fund,118858,62.0,26.96,60.88,rural
1339,789,Education,138416,550.0,218.05,9.14,rural
2803,684,Marriage,680313,2119.0,707.93,10.85,rural
929,760,Marriage,247128,169.0,69.28,52.86,urban
1014,643,Education,369994,371.0,163.23,34.05,student
964,819,Marriage,238041,145.0,60.92,53.88,student
585,231,Bike,60100,354.0,135.16,5.59,student
377,324,Gold,101575,53.0,24.75,68.98,student
343,172,Gold,266945,171.0,56.5,47.56,rural
2682,2376,House Downpayment,639878,306.0,141.8,63.24,urban
909,631,Bike,94504,278.0,123.11,11.4,urban
1473,928,Education,416077,545.0,215.91,22.98,urban
375,119,Emergency Fund,134408,256.0,102.96,18.97,urban
2195,461,Gold,231819,1734.0,691.56,4.02,rural
888,391,Education,253527,497.0,171.56,17.97,rural
339,235,Marriage,509355,104.0,44.96,156.02,student
902,368,Bike,84031,534.0,181.38,5.45,rural
2010,1473,Bike,90951,537.0,172.71,5.37,urban
2885,2147,Bike,114997,738.0,290.15,5.58,student
406,166,Gold,287220,240.0,87.59,36.21,urban
588,409,Bike,77728,179.0,68.37,15.36,rural
1121,132,Education,230330,989.0,370.3,8.4,urban
380,251,Emergency Fund,111681,129.0,43.12,28.57,urban
2982,1370,House Downpayment,811537,1612.0,758.13,16.44,student
1882,319,Gold,209651,1563.0,549.96,4.46,rural
1492,1002,Marriage,334017,490.0,204.97,23.67,rural
836,742,House Downpayment,856791,94.0,38.41,312.84,rural
975,641,Gold,274340,334.0,135.02,29.91,rural
316,135,Education,417638,181.0,77.07,75.97,urban
367,178,Education,282054,189.0,64.41,51.34,urban
1250,266,Emergency Fund,88361,984.0,411.24,3.19,urban
2713,1545,Emergency Fund,149924,1168.0,448.65,4.59,rural
1331,550,Bike,59562,781.0,355.48,2.5,student
563,227,Education,201965,336.0,115.9,20.08,urban
333,286,Bike,128328,47.0,19.7,86.48,rural
1536,144,Marriage,389768,1392.0,454.27,9.87,rural
434,268,House Downpayment,815330,166.0,57.89,153.87,rural
1416,1057,Bike,58869,359.0,168.13,5.49,student
621,228,House Downpayment,1983983,393.0,180.64,172.46,student
1078,111,Gold,185594,967.0,315.77,6.78,rural
1407,565,Gold,170991,842.0,390.6,6.47,rural
588,415,Marriage,531860,173.0,69.39,100.16,rural
499,274,House Downpayment,884267,225.0,72.26,129.77,student
2879,576,Emergency Fund,60721,2303.0,784.86,0.95,student
2925,2054,Emergency Fund,93798,871.0,405.38,3.9,student
2006,452,Emergency Fund,36508,1554.0,594.3,0.74,rural
613,165,Gold,73538,448.0,177.97,5.07,student
397,209,Gold,230663,188.0,69.76,41.79,rural
2000,1369,Bike,94533,631.0,283.33,5.33,student
2023,819,Marriage,764854,1204.0,459.45,20.01,student
1365,710,Gold,297356,655.0,298.75,15.61,urban
2265,1467,Bike,138756,798.0,323.44,6.01,student
2381,1961,Emergency Fund,140667,420.0,160.93,10.69,student
521,176,Marriage,509472,345.0,122.48,48.65,rural
496,128,Emergency Fund,63494,368.0,148.61,5.6,student
953,840,Bike,148282,113.0,45.9,46.4,rural
385,302,House Downpayment,1182263,83.0,31.26,509.33,rural
2235,512,Bike,75588,1723.0,614.3,1.46,urban
664,309,House Downpayment,1843282,355.0,119.98,185.09,student
1382,977,Bike,113659,405.0,136.85,9.55,rural
335,153,Emergency Fund,43073,182.0,72.41,8.24,rural
1215,1014,Emergency Fund,92070,201.0,67.35,15.29,rural
566,310,Emergency Fund,90726,256.0,122.07,12.62,student
1374,473,Bike,107915,901.0,323.91,3.69,urban
535,194,Marriage,279490,341.0,114.68,26.83,student
2608,1576,Marriage,239932,1032.0,342.63,7.44,student
913,301,House Downpayment,1417621,612.0,217.4,74.42,rural
383,148,Marriage,785867,235.0,79.05,116.23,rural
1465,454,Education,382532,1011.0,438.79,11.99,urban
1835,1510,Emergency Fund,53955,325.0,130.08,5.34,urban
492,219,Education,416857,273.0,94.4,53.63,urban
634,398,Bike,59405,236.0,97.61,7.85,student
553,208,Gold,227050,345.0,114.94,21.2,rural
593,120,House Downpayment,1663263,473.0,164.09,105.61,rural
2229,1162,Education,219734,1067.0,350.93,7.52,urban
1127,153,Marriage,376538,974.0,337.71,12.28,rural
2066,1074,Education,155447,992.0,317.88,5.25,student
951,725,Education,399879,226.0,107.75,60.31,rural
1501,742,Marriage,391494,759.0,247.65,15.85,student
1034,686,Gold,151541,348.0,130.81,15.79,urban
468,396,Emergency Fund,26161,72.0,23.73,13.1,student
2317,433,Marriage,604857,1884.0,895.44,10.27,urban
562,330,Education,289349,232.0,85.44,42.72,student
474,308,House Downpayment,1205651,166.0,71.89,255.78,student
2272,1640,Emergency Fund,130451,632.0,270.5,7.13,rural
323,224,Education,102952,99.0,45.29,36.76,urban
867,258,Gold,63176,609.0,272.57,3.34,urban
2541,796,House Downpayment,1554213,1745.0,693.91,28.34,rural
2601,142,Emergency Fund,134521,2459.0,930.45,1.92,rural
1312,690,Emergency Fund,84082,622.0,286.93,4.16,student
1340,1090,Education,402677,250.0,107.72,49.87,student
2421,847,Education,413254,1574.0,599.33,7.93,urban
1340,200,Education,124468,1140.0,430.58,3.86,rural
2331,1934,House Downpayment,755601,397.0,173.23,65.54,rural
2201,1442,House Downpayment,1742900,759.0,347.32,82.07,student
479,160,House Downpayment,1883261,319.0,133.62,187.96,rural
1676,160,Marriage,378937,1516.0,699.39,8.47,urban
688,206,Marriage,492911,482.0,182.67,35.74,urban
1440,599,House Downpayment,1162090,841.0,392.13,41.55,student
331,243,Gold,106348,88.0,28.77,41.67,urban
586,497,Gold,260747,89.0,33.34,93.67,student
968,654,Education,218588,314.0,141.91,22.5,student
1468,892,Marriage,648093,576.0,185.34,40.89,student
976,655,Education,412579,321.0,109.52,41.73,urban
1994,1160,Education,395617,834.0,279.16,16.38,student
987,886,Marriage,251283,101.0,46.37,83.09,urban
2424,367,Bike,99594,2057.0,689.63,1.49,student
1040,803,House Downpayment,1166624,237.0,106.66,164.67,student
671,308,Emergency Fund,108702,363.0,141.48,10.93,rural
550,411,Bike,144488,139.0,62.55,31.22,rural
1653,1151,Education,401182,502.0,185.52,25.39,student
328,124,Emergency Fund,65621,204.0,74.82,10.09,student
2016,1301,Emergency Fund,24366,715.0,302.97,1.2,rural
308,194,Marriage,620788,114.0,44.08,198.46,rural
499,209,Education,156996,290.0,128.11,16.74,rural
440,257,House Downpayment,533445,183.0,62.67,90.2,rural
2157,1833,Education,183409,324.0,117.48,19.4,urban
558,466,Gold,137367,92.0,39.09,47.85,urban
722,418,House Downpayment,678869,304.0,114.65,67.28,student
1475,934,Gold,65996,541.0,202.41,4.3,student
2430,1005,House Downpayment,1287636,1425.0,512.4,28.79,rural
1419,133,House Downpayment,1605564,1286.0,554.03,42.86,urban
2595,119,House Downpayment,1016986,2476.0,1105.55,13.73,urban
1106,987,Bike,86064,119.0,40.01,25.48,student
1589,222,Marriage,388012,1367.0,585.0,9.5,student
1309,1078,Bike,79213,231.0,84.86,11.29,rural
553,427,Marriage,594005,126.0,52.9,142.96,student
1943,1479,Gold,203177,464.0,194.14,14.82,urban
1313,1087,Gold,182831,226.0,92.72,29.52,urban
970,618,Emergency Fund,144541,352.0,139.62,13.2,student
1572,710,House Downpayment,1180114,862.0,357.31,49.11,student
444,240,Emergency Fund,85983,204.0,73.72,15.01,rural
2631,1522,Marriage,781001,1109.0,417.84,23.84,rural
451,210,Marriage,211615,241.0,111.92,26.42,student
1211,875,Gold,280791,336.0,123.72,29.67,student
889,411,Education,452761,478.0,226.34,32.61,urban
1856,402,Education,167865,1454.0,492.24,4.14,urban
2290,1093,House Downpayment,1092590,1197.0,564.54,28.37,urban
544,289,House Downpayment,1261327,255.0,98.85,168.62,rural
359,267,Bike,127692,92.0,37.92,44.6,urban
1877,606,Emergency Fund,89744,1271.0,607.74,2.37,student
635,244,Marriage,784193,391.0,179.02,71.03,urban
2030,678,Bike,120696,1352.0,601.22,2.77,rural
1737,1341,Emergency Fund,106491,396.0,170.58,8.23,urban
2241,350,Emergency Fund,142209,1891.0,808.2,2.42,urban
1461,772,Bike,51391,689.0,328.82,2.65,rural
1440,442,Emergency Fund,25103,998.0,397.81,0.91,student
2379,1113,Gold,233902,1266.0,540.1,6.66,rural
354,273,Gold,294782,81.0,28.41,124.59,student
466,150,Emergency Fund,54385,316.0,150.74,5.23,rural
1952,1351,House Downpayment,1931978,601.0,251.24,114.52,student
2617,1033,House Downpayment,1462859,1584.0,656.89,33.65,rural
954,216,Emergency Fund,42238,738.0,310.17,2.09,student
926,458,Bike,115289,468.0,175.08,8.89,rural
976,603,Emergency Fund,34047,373.0,144.06,3.26,urban
1621,926,Gold,176418,695.0,332.08,7.98,student
1437,231,Marriage,455356,1206.0,424.19,13.2,rural
1479,828,House Downpayment,1951084,651.0,266.09,104.04,urban
2499,1524,Education,174350,975.0,412.15,5.55,student
2267,1728,Education,489716,539.0,183.85,27.62,rural
463,273,Bike,148299,190.0,84.17,27.86,rural
332,217,Bike,62101,115.0,48.83,17.63,urban
2265,1315,Education,362904,950.0,455.8,12.02,urban
406,243,Gold,165484,163.0,66.56,36.31,rural
967,194,Education,416734,773.0,257.46,17.41,rural
393,163,Education,361639,230.0,86.88,47.56,urban
2650,1044,Education,252942,1606.0,760.4,5.07,rural
316,252,Bike,55183,64.0,28.72,28.13,student
2893,2233,Marriage,346827,660.0,246.75,18.82,student
452,184,House Downpayment,1163233,268.0,123.5,154.55,urban
1038,214,Gold,210915,824.0,291.98,8.62,rural
1406,870,Education,474779,536.0,215.04,28.49,urban
934,640,Gold,191868,294.0,106.68,21.26,rural
420,111,Gold,291139,309.0,142.01,34.09,urban
1027,369,Education,333549,658.0,224.14,16.39,urban
445,318,Bike,65171,127.0,41.89,16.73,student
2131,1054,Emergency Fund,63088,1077.0,462.93,1.82,rural
315,146,Education,195500,169.0,77.94,35.85,urban
315,130,Education,151267,185.0,76.58,29.17,urban
418,279,Bike,50546,139.0,62.22,10.97,student
590,298,Education,241340,292.0,111.98,27.88,urban
875,644,Emergency Fund,94852,231.0,88.3,13.38,student
1389,850,Bike,148288,539.0,257.2,9.05,rural
579,422,House Downpayment,642878,157.0,53.05,147.16,urban
328,219,Education,312409,109.0,36.14,100.52,rural
2748,1532,Marriage,278582,1216.0,458.39,6.89,student
825,337,Gold,126604,488.0,199.72,8.15,urban
444,210,Marriage,579830,234.0,87.64,86.73,student
1249,1040,Marriage,529414,209.0,68.39,90.12,urban
376,164,Gold,299099,212.0,74.86,45.61,rural
416,206,Emergency Fund,67160,210.0,71.6,9.84,student
2191,1363,Gold,156098,828.0,274.93,6.78,student
309,224,Gold,123640,85.0,34.25,44.18,rural
442,218,Bike,117623,224.0,84.83,16.49,urban
522,344,Bike,96356,178.0,77.54,19.59,urban
1076,295,Marriage,421543,781.0,297.24,16.51,student
1139,131,Bike,66064,1008.0,456.41,2.21,urban
896,313,Marriage,728633,583.0,269.04,39.69,urban
429,347,Emergency Fund,145544,82.0,32.08,60.19,rural
331,196,Education,142252,135.0,57.95,34.47,rural
1195,723,Marriage,545259,472.0,192.64,40.39,urban
1053,476,Emergency Fund,147744,577.0,242.02,9.36,rural
2518,1099,House Downpayment,941811,1419.0,455.06,20.59,urban
2204,546,Education,445592,1658.0,574.14,8.41,urban
309,195,Bike,79888,114.0,48.67,25.26,rural
2501,1111,Emergency Fund,103217,1390.0,602.98,2.57,student
1023,433,Marriage,630945,590.0,211.7,33.98,urban
1115,309,Gold,181650,806.0,342.4,7.66,student
827,516,House Downpayment,1374074,311.0,121.95,132.64,student
1256,955,Bike,127329,301.0,121.91,15.35,rural
2341,823,Gold,291469,1518.0,693.93,6.09,urban
467,402,Education,368794,65.0,25.81,206.9,urban
1617,1322,Gold,268150,295.0,104.85,33.28,rural
2938,1627,Education,198791,1311.0,612.59,5.54,urban
2578,185,Marriage,278940,2393.0,1128.43,3.54,rural
890,591,Education,176840,299.0,95.76,17.98,urban
1404,305,Emergency Fund,35019,1099.0,393.77,0.96,student
2753,1949,Marriage,730958,804.0,379.66,32.33,student
922,663,Emergency Fund,60677,259.0,88.25,7.89,urban
1976,498,Bike,148192,1478.0,669.66,3.02,urban
2591,682,Emergency Fund,87868,1909.0,753.03,1.41,rural
2921,861,Education,170688,2060.0,794.84,2.84,student
377,205,Emergency Fund,145513,172.0,81.05,28.93,rural
2463,255,House Downpayment,1718317,2208.0,888.76,24.51,rural
1036,144,House Downpayment,1974513,892.0,394.62,72.52,rural
692,535,Education,391243,157.0,68.88,89.27,student
993,680,Marriage,553555,313.0,146.47,57.3,urban
1413,1130,Bike,57697,283.0,93.23,6.4,urban
303,102,Emergency Fund,74398,201.0,93.88,11.94,urban
306,269,Bike,87405,37.0,16.9,82.32,urban
734,413,Education,145838,321.0,145.87,14.52,student
1286,836,Gold,244549,450.0,214.86,18.44,student
369,242,Emergency Fund,48548,127.0,58.24,13.09,student
2756,2160,Marriage,393665,596.0,283.01,19.99,urban
361,100,Emergency Fund,74369,261.0,100.53,8.85,student
525,282,Education,138867,243.0,80.0,19.02,student
1640,919,Gold,211401,721.0,345.04,8.97,urban
1382,1046,Emergency Fund,105590,336.0,144.03,9.46,student
2924,2071,Marriage,280239,853.0,402.44,10.78,urban
589,513,Marriage,504513,76.0,30.07,238.44,student
1253,136,Education,124991,1117.0,398.55,3.93,rural
917,231,Gold,260341,686.0,313.58,11.76,student
604,216,Emergency Fund,35781,388.0,165.37,2.96,rural
334,185,House Downpayment,1920993,149.0,65.38,445.35,rural
1330,1123,Emergency Fund,88654,207.0,72.73,12.95,rural
347,266,House Downpayment,1747607,81.0,26.7,749.64,rural
1425,713,House Downpayment,509589,712.0,315.86,23.21,rural
861,110,House Downpayment,1772826,751.0,324.48,74.4,student
418,117,Gold,203062,301.0,127.37,21.57,student
2198,1824,Marriage,522789,374.0,120.43,42.39,urban
1102,895,Marriage,316812,207.0,68.16,48.18,student
931,828,Emergency Fund,87576,103.0,36.19,30.43,student
1790,634,Marriage,385582,1156.0,501.97,11.05,student
1476,1032,Education,192004,444.0,150.23,14.49,rural
1962,1032,Emergency Fund,109161,930.0,343.42,3.83,urban
1354,1123,Marriage,475052,231.0,92.49,69.21,rural
2211,1828,Marriage,277768,383.0,124.53,22.85,student
1414,555,Marriage,525654,859.0,316.44,19.96,student
2287,487,Education,181936,1800.0,684.09,3.3,rural
1435,661,House Downpayment,1508525,774.0,345.14,63.71,urban
1436,1032,Emergency Fund,121985,404.0,183.14,9.43,rural
419,164,Education,138818,255.0,100.48,18.12,rural
303,217,Education,271335,86.0,37.58,106.58,urban
526,114,Bike,118241,412.0,148.95,10.08,student
690,302,House Downpayment,1578564,388.0,171.74,123.54,rural
1678,664,Bike,102365,1014.0,340.2,3.34,student
2170,1820,Education,193967,350.0,143.17,19.53,student
570,211,House Downpayment,815570,359.0,143.53,75.1,urban
768,258,Gold,210768,510.0,182.43,13.78,student
308,188,Bike,52218,120.0,53.54,15.73,rural
2088,1867,Education,199665,221.0,88.38,32.92,student
383,178,Gold,228346,205.0,72.22,34.91,urban
2993,1571,Education,460859,1422.0,505.29,11.33,student
759,332,Marriage,787357,427.0,154.85,56.69,rural
1234,560,House Downpayment,1875561,674.0,235.83,91.14,rural
2842,2458,Marriage,730555,384.0,135.98,67.94,urban
362,268,Marriage,659380,94.0,36.5,239.75,rural
2572,871,Marriage,488256,1701.0,766.24,9.0,urban
1819,185,Marriage,652261,1634.0,603.3,12.26,rural
2731,1395,House Downpayment,1541977,1336.0,478.56,38.87,urban
1946,1062,House Downpayment,1768312,884.0,379.98,67.5,urban
1966,1723,Bike,100287,243.0,88.78,15.13,urban
1917,1493,Marriage,254057,424.0,197.94,18.52,student
1025,748,Education,171717,277.0,121.67,18.84,student
1351,508,House Downpayment,1916134,843.0,349.02,69.09,rural
309,157,Gold,281569,152.0,49.24,62.33,rural
1006,833,Emergency Fund,126018,173.0,71.35,25.93,urban
2664,1008,Gold,187296,1656.0,564.17,4.0,urban
1020,760,Marriage,595894,260.0,119.21,80.14,student
2837,2236,Bike,139633,601.0,283.34,7.9,rural
1862,1447,Education,221688,415.0,163.18,16.32,rural
2365,405,Bike,134308,1960.0,775.0,2.13,urban
613,387,House Downpayment,1788232,226.0,104.69,250.45,urban
646,509,Marriage,382153,137.0,45.97,100.53,student
336,138,Gold,107670,198.0,85.88,19.71,rural
378,238,Marriage,766203,140.0,45.69,193.42,rural
788,131,Marriage,419177,657.0,295.53,22.89,student
1463,1242,Marriage,327511,221.0,100.13,45.15,rural
378,133,Gold,163053,245.0,112.41,23.78,rural
636,235,House Downpayment,1444621,401.0,128.47,109.92,urban
1141,182,Gold,174125,959.0,334.93,6.12,urban
1037,798,Marriage,347841,239.0,108.01,51.72,urban
585,390,Gold,133032,195.0,66.55,22.23,rural
1884,1063,Education,443746,821.0,367.68,19.61,rural
324,153,Emergency Fund,53356,171.0,78.32,10.02,student
1453,225,Emergency Fund,65015,1228.0,393.83,1.84,rural
680,130,Gold,237479,550.0,199.49,13.8,rural
527,466,Gold,265202,61.0,20.63,153.87,rural
2268,778,Emergency Fund,149669,1490.0,624.69,3.55,student
2961,2154,Education,250747,807.0,282.72,11.16,student
844,438,House Downpayment,640648,406.0,150.92,53.45,rural
1950,504,Education,211059,1446.0,684.73,4.89,student
2237,590,Marriage,425529,1647.0,614.56,9.07,rural
2387,2022,Emergency Fund,131916,365.0,120.7,12.14,rural
409,282,Marriage,649606,127.0,42.88,181.34,student
1236,277,Marriage,725406,959.0,309.92,24.38,rural
1874,546,Marriage,290948,1328.0,434.56,7.61,urban
1906,831,Gold,269703,1075.0,390.76,8.9,rural
2028,663,Marriage,514587,1365.0,594.26,13.45,urban
1342,1066,Marriage,275501,276.0,126.49,32.71,student
1101,417,House Downpayment,949695,684.0,312.31,47.7,student
441,208,House Downpayment,1652300,233.0,90.79,212.92,urban
2719,1167,House Downpayment,1740709,1552.0,682.07,37.33,urban
568,183,Gold,225410,385.0,133.77,19.36,urban
1068,266,Bike,83566,802.0,359.7,3.39,urban
2465,1438,Marriage,224840,1027.0,453.79,7.91,student
913,241,Gold,205643,672.0,223.86,10.61,urban
997,578,Gold,205136,419.0,144.26,17.58,rural
1196,270,House Downpayment,1826042,926.0,408.59,71.36,rural
506,154,Emergency Fund,146992,352.0,147.89,13.8,student
1258,797,House Downpayment,784691,461.0,160.08,55.69,student
974,111,Bike,101981,863.0,285.19,4.29,rural
2543,1319,Gold,137450,1224.0,545.58,3.45,student
2863,1003,Emergency Fund,59753,1860.0,765.23,1.11,rural
464,204,Marriage,577220,260.0,83.67,67.66,rural
1487,377,Gold,284193,1110.0,452.69,8.98,urban
1764,1290,Gold,77089,474.0,205.95,4.9,rural
2848,1910,Emergency Fund,106235,938.0,348.42,4.15,rural
1085,810,House Downpayment,652085,275.0,113.09,76.59,rural
484,209,Marriage,345779,275.0,128.62,45.82,urban
2945,263,Education,122270,2682.0,956.09,1.67,rural
2594,2314,Emergency Fund,139506,280.0,111.27,18.26,urban
498,150,Bike,100978,348.0,151.26,9.47,urban
1369,1156,Marriage,634146,213.0,100.67,95.69,rural
1188,254,Education,202715,934.0,334.61,7.48,urban
474,145,Marriage,398969,329.0,143.97,36.44,rural
2596,1806,Marriage,354865,790.0,364.23,14.44,urban
326,200,Marriage,760732,126.0,41.59,203.59,student
2039,141,Education,286957,1898.0,846.16,5.46,student
336,100,Bike,64311,236.0,101.04,9.89,student
2596,1602,House Downpayment,875574,994.0,417.95,28.19,urban
2273,902,Marriage,265793,1371.0,451.98,6.9,urban
1378,1095,Bike,119805,283.0,106.17,13.0,student
369,119,House Downpayment,1269255,250.0,102.22,180.56,rural
2723,1463,Bike,89706,1260.0,479.34,2.14,rural
344,298,House Downpayment,899515,46.0,20.02,699.78,rural
2456,2075,Marriage,552824,381.0,164.67,51.11,student
520,283,Education,251978,237.0,83.68,37.06,urban
599,414,Bike,106250,185.0,73.36,17.46,urban
389,181,House Downpayment,718889,208.0,72.18,109.86,urban
1667,127,House Downpayment,794013,1540.0,698.18,16.79,student
354,181,Education,205613,173.0,71.44,39.41,rural
712,527,Education,434395,185.0,63.95,79.25,rural
2163,1922,House Downpayment,1601944,241.0,99.01,222.13,student
2148,1726,Education,426420,422.0,186.7,35.16,rural
2405,247,Education,466809,2158.0,910.47,7.02,rural
2472,2204,Gold,249866,268.0,86.87,31.98,rural
1120,366,House Downpayment,1799812,754.0,279.17,75.58,rural
1297,243,Emergency Fund,89507,1054.0,342.74,2.77,rural
915,705,Marriage,647963,210.0,89.13,112.18,urban
2233,318,Education,462777,1915.0,823.51,8.75,student
906,761,Gold,230937,145.0,52.32,55.8,rural
833,470,Marriage,538037,363.0,147.88,44.74,urban
557,317,Marriage,497845,240.0,114.48,67.47,student
2209,1546,House Downpayment,1986195,663.0,271.59,91.74,rural
1541,554,Emergency Fund,77316,987.0,422.22,2.77,rural
382,264,Education,244288,118.0,46.62,75.85,student
1334,349,Education,401165,985.0,367.67,13.8,urban
1077,238,Emergency Fund,132209,839.0,394.24,4.91,student
2842,1106,Bike,138678,1736.0,762.16,2.84,rural
2534,832,House Downpayment,1112825,1702.0,676.0,20.51,urban
2095,310,Education,337839,1785.0,792.73,6.52,urban
669,224,Marriage,257694,445.0,194.14,20.74,rural
785,411,Education,288953,374.0,120.49,28.06,urban
2342,1650,Bike,68172,692.0,226.18,3.26,urban
1385,658,Education,204701,727.0,277.38,8.64,rural
1276,1062,Bike,100301,214.0,72.5,14.12,student
316,243,Education,229241,73.0,33.62,111.22,student
306,210,Bike,118293,96.0,36.9,41.23,student
375,256,Marriage,359022,119.0,47.04,108.91,urban
2801,403,Emergency Fund,84944,2398.0,916.22,1.28,student
1424,155,Bike,119495,1269.0,534.02,3.18,student
1613,1060,Gold,281989,553.0,231.11,18.51,rural
1436,538,House Downpayment,973590,898.0,306.19,35.02,student
2761,995,Marriage,253546,1766.0,674.79,4.66,urban
2937,239,Education,115394,2698.0,1134.55,1.31,rural
787,186,House Downpayment,1503360,601.0,205.31,76.64,urban
364,291,Bike,79280,73.0,27.16,39.13,student
1316,886,Marriage,470987,430.0,176.6,33.75,urban
731,513,House Downpayment,1082111,218.0,71.78,158.15,student
1064,669,Gold,293685,395.0,154.63,25.68,rural
533,393,Bike,77307,140.0,59.39,18.04,student
1296,456,Emergency Fund,123351,840.0,323.35,4.72,urban
1055,694,Education,275006,361.0,158.77,24.47,urban
1125,270,Emergency Fund,31303,855.0,362.13,1.2,urban
350,111,House Downpayment,636017,239.0,89.12,80.5,student
391,168,Marriage,533558,223.0,93.87,84.43,urban
1564,1168,House Downpayment,1801185,396.0,163.79,143.34,student
2872,2157,House Downpayment,1010224,715.0,318.21,42.42,rural
486,378,Emergency Fund,52648,108.0,50.12,17.53,student
465,207,House Downpayment,601737,258.0,105.14,82.57,rural
567,443,Gold,287949,124.0,51.53,70.84,rural
2115,1688,Emergency Fund,20666,427.0,155.98,1.6,urban
468,415,Bike,85521,53.0,19.64,49.67,urban
472,290,Emergency Fund,106312,182.0,80.71,20.95,urban
431,181,Gold,258659,250.0,102.29,35.75,urban
1910,1465,Marriage,616187,445.0,207.53,43.29,student
446,127,Marriage,381889,319.0,152.85,43.76,student
504,388,Emergency Fund,118086,116.0,38.16,31.45,rural
580,469,Emergency Fund,110527,111.0,40.81,32.67,student
405,295,Emergency Fund,125304,110.0,51.74,36.51,student
1328,269,Gold,207136,1059.0,459.67,6.8,urban
1105,872,Emergency Fund,147357,233.0,104.91,19.12,urban
2372,2023,Education,415897,349.0,127.17,41.06,student
2671,576,Emergency Fund,47793,2095.0,949.17,0.75,urban
356,190,Marriage,784432,166.0,54.8,144.77,rural
1372,439,Emergency Fund,33390,933.0,420.51,1.26,student
936,246,Bike,90284,690.0,246.74,4.26,rural
1411,916,Marriage,319090,495.0,166.94,22.09,student
2686,1103,Marriage,216316,1583.0,637.51,4.96,student
1798,1502,Marriage,696820,296.0,125.52,76.66,rural
365,201,Emergency Fund,55724,164.0,74.67,12.39,student
337,234,Marriage,267033,103.0,36.75,91.94,rural
302,176,Gold,277657,126.0,50.89,80.73,student
429,333,Bike,78607,96.0,42.05,26.34,urban
854,749,Gold,105947,105.0,37.9,33.79,urban
332,284,Education,467564,48.0,16.35,315.55,urban
1093,334,Education,216913,759.0,329.75,9.96,urban
400,178,Marriage,657633,222.0,83.16,100.57,student
380,311,Emergency Fund,73053,69.0,22.12,34.79,urban
2221,278,Gold,274411,1943.0,758.38,5.09,urban
356,276,Education,334533,80.0,30.2,152.83,urban
1409,100,Education,498606,1309.0,576.41,13.95,student
1947,235,Marriage,724867,1712.0,690.9,13.27,rural
2356,1939,House Downpayment,1333093,417.0,149.21,102.19,urban
504,414,Education,104378,90.0,33.95,37.12,student
781,464,Marriage,683442,317.0,105.86,74.62,urban
577,490,House Downpayment,596023,87.0,31.08,238.15,student
533,410,Emergency Fund,100833,123.0,49.89,26.72,urban
2392,1957,Bike,134419,435.0,168.01,10.44,urban
2276,582,Emergency Fund,104360,1694.0,686.82,2.22,student
2719,824,Emergency Fund,68749,1895.0,884.56,1.13,rural
552,332,Education,109436,220.0,93.96,15.37,urban
523,295,Education,261355,228.0,102.47,37.74,student
2186,978,House Downpayment,1849762,1208.0,481.45,47.81,urban
623,541,Marriage,762536,82.0,32.63,323.63,urban
2354,919,Bike,87849,1435.0,557.9,2.22,student
540,248,Education,102388,292.0,98.57,10.53,student
2932,2400,Marriage,693969,532.0,178.26,41.68,rural
1602,1181,Gold,156110,421.0,161.62,13.03,urban
755,512,Gold,96344,243.0,92.3,14.19,rural
766,614,Marriage,429805,152.0,65.12,85.68,rural
2163,1254,Marriage,750826,909.0,373.61,25.81,student
1737,413,House Downpayment,1738521,1324.0,562.78,41.36,rural
785,556,House Downpayment,928244,229.0,109.44,126.68,urban
425,159,Education,355439,266.0,114.99,47.06,rural
388,232,Emergency Fund,82523,156.0,56.41,16.18,urban
309,127,Marriage,602634,182.0,71.07,113.53,rural
460,244,Gold,245276,216.0,92.22,39.28,rural
1014,567,Marriage,246710,447.0,203.78,17.87,urban
1358,1102,House Downpayment,1275012,256.0,121.5,150.66,urban
2254,682,Gold,266666,1572.0,647.21,5.77,urban
390,190,Gold,118061,200.0,75.87,20.81,urban
2477,2117,Marriage,346351,360.0,163.9,32.05,student
892,395,House Downpayment,815791,497.0,167.75,54.86,rural
2439,2142,Education,416835,297.0,105.17,50.42,urban
1471,798,House Downpayment,1500215,673.0,226.55,67.99,student
748,291,Emergency Fund,135750,457.0,160.26,9.52,urban
1736,370,House Downpayment,547689,1366.0,482.12,14.53,rural
1107,681,Gold,275684,426.0,203.13,20.05,student
2964,2469,Emergency Fund,35067,495.0,166.23,2.37,urban
349,121,Education,435290,228.0,76.26,66.65,student
819,518,House Downpayment,739679,301.0,111.62,89.17,rural
424,103,Education,473021,321.0,122.27,51.52,student
372,130,Bike,97496,242.0,112.05,13.61,student
1784,668,House Downpayment,714383,1116.0,529.63,22.85,rural
