daily_income,income_stability,goal_type,goal_amount,daily_expense,profile_type,months_to_reach_goal,recommended_daily_saving,discipline_score
2391.2,0.98,Emergency Fund,125875,169,urban,1.89,888.88,100
80.08,0.77,Bike,147742,117,student,,,5
1838.9,0.74,Gold,150029,103,urban,2.88,694.36,83
154.8,0.72,House Downpayment,781031,143,student,2206.3,4.72,6
372.0,0.62,Education,376522,146,rural,55.53,90.4,45
135.68,0.64,Bike,89067,121,student,202.24,5.87,8
685.26,0.94,Bike,114400,137,rural,6.96,219.3,90
397.7,0.97,Bike,73459,143,rural,9.61,101.88,74
131.72,0.89,Emergency Fund,57036,122,student,195.6,3.89,7
93.06,0.66,Gold,297667,111,student,,,5
261.8,0.68,Gold,158490,123,student,38.06,55.52,43
348.4,0.67,House Downpayment,1008661,104,rural,137.57,97.76,56
315.75,0.75,Emergency Fund,42626,152,student,8.68,65.5,46
287.86,0.74,Bike,114233,140,rural,25.75,59.14,45
1721.12,0.62,Emergency Fund,116867,153,urban,2.48,627.25,67
1011.84,0.64,Emergency Fund,131984,126,urban,4.97,354.34,67
340.68,0.68,Bike,78131,177,rural,15.91,65.47,39
322.69,0.61,Emergency Fund,46093,138,rural,8.32,73.88,41
278.39,0.97,Gold,283135,153,student,75.27,50.16,52
392.16,0.76,Marriage,519781,180,rural,81.66,84.86,49
516.75,0.65,Bike,99207,143,rural,8.85,149.5,56
506.9,0.74,Emergency Fund,98003,124,rural,8.53,153.16,67
233.28,0.72,Education,173197,130,rural,55.9,41.31,38
618.8,0.91,Marriage,567620,126,rural,38.39,197.12,86
203.98,0.94,Bike,72481,78,student,19.18,50.39,69
370.12,0.76,Bike,56878,126,student,7.77,97.65,60
120.06,0.69,Gold,279880,146,student,,,5
159.3,0.9,House Downpayment,1284493,104,student,774.26,22.12,37
2028.31,0.89,Marriage,621650,102,urban,10.76,770.52,100
1118.39,0.91,Gold,151590,99,urban,4.96,407.76,99
1375.14,0.82,House Downpayment,1778211,127,urban,47.49,499.26,89
465.3,0.94,Bike,120696,145,student,12.56,128.12,77
1771.47,0.81,Gold,187166,135,urban,3.81,654.59,89
1653.0,0.95,Marriage,736372,154,urban,16.37,599.6,100
813.0,0.6,Marriage,415758,152,urban,20.97,264.4,58
755.65,0.85,Emergency Fund,142776,190,urban,8.41,226.26,76
1500.84,0.99,Emergency Fund,100161,112,urban,2.4,555.54,100
160.2,0.9,Marriage,694011,104,student,411.63,22.48,37
349.97,0.79,Emergency Fund,118796,137,student,18.59,85.19,57
614.1,0.69,Gold,212954,160,urban,15.63,181.64,61
270.4,0.65,Bike,135129,107,rural,27.57,65.36,47
234.0,1.0,House Downpayment,1702138,135,student,573.11,39.6,50
525.42,0.63,Emergency Fund,32212,97,urban,2.51,171.37,61
434.32,0.61,Emergency Fund,96650,92,rural,9.41,136.93,57
326.96,0.61,Marriage,217481,138,rural,38.36,75.58,42
1271.6,0.85,Marriage,378961,134,urban,11.1,455.04,91
2534.61,0.97,Gold,205685,115,urban,2.83,967.84,100
2085.16,0.77,Gold,265977,175,urban,4.64,764.06,84
205.38,0.63,Marriage,484637,135,student,229.53,28.15,25
376.32,0.96,Bike,118498,94,student,13.99,112.93,86
89.46,0.63,Marriage,694045,98,student,,,5
301.56,0.84,Education,388049,88,student,60.57,85.42,71
1499.19,0.77,House Downpayment,798157,128,urban,19.4,548.48,84
729.06,0.87,Marriage,345031,114,urban,18.7,246.02,88
540.6,0.85,Gold,268354,90,rural,19.85,180.24,85
1971.0,0.73,Gold,61142,162,urban,1.13,723.6,80
313.96,0.94,Emergency Fund,105341,141,student,20.3,69.18,62
211.42,0.62,Bike,105880,146,rural,53.95,26.17,23
401.52,0.84,House Downpayment,1322584,167,student,187.98,93.81,58
732.78,0.69,Marriage,534496,109,urban,28.56,249.51,70
990.6,0.65,Gold,234437,180,urban,9.64,324.24,63
305.66,0.62,Gold,187335,118,student,33.28,75.06,45
1721.25,0.85,Marriage,286080,145,urban,6.05,630.5,93
402.96,0.92,Bike,116021,115,rural,13.43,115.18,78
1913.52,0.68,Bike,92850,140,urban,1.75,709.41,75
1570.2,0.6,Education,119216,169,urban,2.84,560.48,64
444.57,0.87,Education,387863,97,rural,37.2,139.03,81
596.7,0.85,Education,132923,192,rural,10.95,161.88,69
123.58,0.74,Gold,242292,128,student,,,5
331.55,0.95,Emergency Fund,128278,148,student,23.3,73.42,63
565.29,0.99,Emergency Fund,109257,115,rural,8.09,180.12,94
537.2,0.68,Emergency Fund,59734,106,rural,4.62,172.48,65
228.48,0.68,Bike,110922,147,rural,45.38,32.59,29
248.67,0.81,Bike,62770,149,student,20.99,39.87,38
240.24,0.77,Gold,264122,117,student,71.44,49.3,47
332.22,0.98,Marriage,237429,165,rural,47.33,66.89,59
178.88,0.86,Marriage,402238,170,student,1509.9,3.55,5
1393.11,0.69,Education,251737,106,urban,6.52,514.84,76
764.19,0.63,Gold,117855,119,urban,6.09,258.08,63
358.67,0.89,Marriage,740956,165,student,127.53,77.47,57
424.8,0.9,Gold,227266,109,student,23.99,126.32,80
1635.84,0.72,Marriage,461797,125,urban,10.19,604.34,79
297.0,0.9,Education,215126,124,rural,41.45,69.2,62
1454.18,0.94,Emergency Fund,49337,156,urban,1.27,519.27,100
1568.77,0.73,Education,454360,84,urban,10.2,593.91,82
342.63,0.81,Gold,187470,130,rural,29.39,85.05,60
1635.3,0.79,Bike,76419,119,urban,1.68,606.52,87
1197.48,0.68,House Downpayment,1191445,104,urban,36.32,437.39,74
454.93,0.97,House Downpayment,1876304,153,student,207.15,120.77,77
232.49,0.67,Marriage,727799,164,rural,354.21,27.4,23
1334.44,0.73,Bike,99244,125,urban,2.74,483.78,79
242.5,0.97,Gold,212464,103,student,50.77,55.8,66
713.8,0.86,Education,244698,91,urban,13.1,249.12,90
2224.82,0.86,Marriage,635271,194,urban,10.43,812.33,94
332.01,0.93,Emergency Fund,23159,154,rural,4.34,71.2,59
602.98,0.73,Education,101636,140,urban,7.32,185.19,67
500.34,0.93,Emergency Fund,92987,104,rural,7.82,158.54,88
100.5,0.67,Education,365406,85,student,785.82,6.2,12
588.69,0.93,Bike,99373,126,rural,7.16,185.08,87
263.52,0.72,Gold,275265,138,student,73.1,50.21,41
403.2,0.7,Gold,150065,123,rural,17.85,112.08,58
78.28,0.76,Marriage,693946,120,student,,,5
182.16,0.92,Bike,122086,135,student,86.29,18.86,28
2232.8,0.8,Emergency Fund,53818,118,urban,0.85,845.92,90
342.07,0.79,Emergency Fund,110961,163,student,20.66,71.63,49
2347.8,0.86,Emergency Fund,53233,140,urban,0.8,883.12,97
972.77,0.89,House Downpayment,1734348,160,urban,71.13,325.11,89
250.24,0.64,Education,372978,157,student,133.34,37.3,28
276.0,1.0,House Downpayment,1863274,135,student,440.49,56.4,61
1451.76,0.92,Emergency Fund,92730,162,urban,2.4,515.9,98
383.68,0.88,Marriage,274905,152,rural,39.55,92.67,63
268.09,0.83,Emergency Fund,129466,121,rural,29.34,58.84,54
288.0,0.96,Marriage,220228,129,student,46.17,63.6,63
751.4,0.85,Gold,54843,163,urban,3.11,235.36,79
2641.92,0.96,Bike,120348,161,urban,1.62,992.37,100
2121.76,0.89,Marriage,536021,146,urban,9.04,790.3,99
680.76,0.93,Marriage,610772,110,rural,35.67,228.3,93
319.95,0.81,Bike,106137,133,rural,18.92,74.78,56
424.34,0.98,Emergency Fund,132487,106,student,13.87,127.34,88
1057.0,0.7,Gold,232008,120,urban,8.25,374.8,74
1268.54,0.82,Marriage,608996,148,urban,18.12,448.22,86
403.2,0.96,Marriage,559128,168,student,79.24,94.08,67
1617.92,0.79,Gold,237604,158,urban,5.43,583.97,85
286.44,0.66,Gold,97791,145,student,23.05,56.58,39
440.05,0.65,Education,210534,143,rural,23.62,118.82,52
116.64,0.81,House Downpayment,1606669,112,student,11542.16,1.86,5
250.29,0.81,Bike,87831,130,rural,24.34,48.12,46
120.4,0.7,Marriage,704418,143,student,,,5
1023.75,0.65,Education,474609,140,urban,17.9,353.5,67
93.0,0.75,Gold,149338,97,student,,,5
234.08,0.77,Marriage,727580,171,student,384.47,25.23,24
293.4,0.6,House Downpayment,1015669,128,rural,204.69,66.16,40
2357.76,0.96,Gold,175384,105,urban,2.6,901.1,100
253.64,0.68,Emergency Fund,91700,153,rural,30.37,40.26,32
1567.88,0.76,House Downpayment,1119338,113,urban,25.65,581.95,84
1403.0,0.92,Marriage,232563,112,urban,6.0,516.4,100
2606.4,0.9,Education,248783,125,urban,3.34,992.56,100
462.99,0.61,Education,354527,161,rural,39.13,120.8,47
379.52,0.64,Emergency Fund,43315,178,rural,7.16,80.61,40
115.5,0.77,Gold,237965,138,student,,,5
219.52,0.98,House Downpayment,1078492,141,student,457.84,31.41,42
1782.96,0.68,Marriage,304492,128,urban,6.13,661.98,75
1691.19,0.69,Gold,199871,92,urban,4.17,639.68,78
1438.99,0.61,Marriage,275254,102,urban,6.86,534.8,68
320.16,0.69,Bike,60988,90,student,8.83,92.06,59
86.67,0.81,Gold,123850,151,student,,,5
239.4,0.76,Education,325843,185,student,199.66,21.76,20
460.8,0.64,Bike,126843,107,rural,11.95,141.52,58
539.92,0.68,Gold,151077,79,rural,10.93,184.37,69
517.09,0.89,Gold,284347,142,rural,25.27,150.04,77
462.88,0.88,Marriage,434261,162,rural,48.11,120.35,68
1582.42,0.89,Gold,178536,142,urban,4.13,576.17,97
130.64,0.71,Bike,97029,150,student,,,5
2116.8,0.8,Bike,56776,139,urban,0.96,791.12,89
333.0,0.9,House Downpayment,1728445,127,student,279.68,82.4,66
1185.34,0.94,Emergency Fund,142610,106,urban,4.4,431.74,100
393.66,0.81,House Downpayment,1317386,133,rural,168.47,104.26,64
209.62,0.94,House Downpayment,1256074,134,student,553.68,30.25,40
413.7,0.7,Marriage,752122,137,rural,90.61,110.68,56
1352.25,0.75,Emergency Fund,58332,142,urban,1.61,484.1,80
440.3,0.7,Gold,268028,173,rural,33.42,106.92,50
237.8,0.82,House Downpayment,526168,170,student,258.69,27.12,28
1681.01,0.97,Education,292638,127,urban,6.28,621.6,100
690.56,0.64,House Downpayment,1110907,79,urban,60.55,244.62,68
201.6,0.6,Education,296559,164,student,262.91,15.04,13
1123.38,0.79,Gold,98544,139,urban,3.34,393.75,83
2581.89,0.89,House Downpayment,1746518,142,urban,23.86,975.96,100
93.16,0.68,Emergency Fund,140282,130,student,,,5
1861.5,0.85,Marriage,216893,140,urban,4.2,688.6,94
249.9,0.98,House Downpayment,1632869,163,student,626.34,34.76,40
138.69,0.69,Marriage,685994,136,student,8500.55,1.08,5
226.56,0.64,House Downpayment,1700846,172,student,1039.13,21.82,18
2138.85,0.97,Education,340941,121,urban,5.63,807.14,100
468.28,0.92,Education,418563,79,rural,35.84,155.71,91
369.6,0.84,Emergency Fund,135742,121,student,18.2,99.44,67
537.75,0.75,House Downpayment,1401025,122,rural,112.33,166.3,69
1019.92,0.88,Gold,88931,122,urban,3.3,359.17,92
1883.76,0.94,House Downpayment,943543,128,urban,17.91,702.3,100
2373.8,0.83,Bike,80959,133,urban,1.2,896.32,94
211.68,0.63,Gold,203912,140,student,94.83,28.67,25
171.6,0.66,House Downpayment,1199265,140,student,1265.05,12.64,14
384.3,0.61,Gold,101263,134,rural,13.49,100.12,47
367.2,0.9,House Downpayment,1450323,147,student,219.55,88.08,64
110.6,0.7,House Downpayment,1056988,134,student,,,5
672.75,0.75,Education,183952,132,urban,11.34,216.3,72
428.72,0.92,Education,334929,74,student,31.47,141.89,91
773.3,0.74,House Downpayment,815640,144,urban,43.2,251.72,72
171.74,0.62,Marriage,684218,131,student,559.82,16.3,17
546.7,0.77,Emergency Fund,87846,115,rural,6.78,172.68,72
248.16,0.88,Gold,100274,113,student,24.73,54.06,57
153.85,0.85,Education,388175,118,student,360.93,14.34,23
1058.68,0.76,House Downpayment,881903,106,urban,30.86,381.07,82
302.08,0.64,Gold,298052,163,rural,71.43,55.63,35
398.16,0.63,Education,391294,153,rural,53.2,98.06,46
475.0,0.76,Marriage,376678,133,rural,36.71,136.8,65
343.42,0.77,Gold,247566,129,student,38.49,85.77,57
525.7,0.7,Bike,82631,115,rural,6.71,164.28,65
307.7,0.85,House Downpayment,914321,146,student,188.48,64.68,53
1983.9,0.85,Marriage,608869,130,urban,10.95,741.56,95
2293.3,0.85,Emergency Fund,131370,133,urban,2.03,864.12,96
298.9,0.7,Bike,142838,100,rural,23.94,79.56,55
315.95,0.71,Education,378375,141,student,72.09,69.98,47
167.4,0.9,Bike,67103,174,student,,,5
305.9,0.7,Gold,93730,149,student,19.91,62.76,43
1298.5,0.98,Marriage,685871,123,urban,19.45,470.2,100
185.4,0.9,Bike,112913,185,student,9409.42,0.16,5
399.6,0.6,Emergency Fund,69200,122,rural,8.31,111.04,50
299.04,0.89,Gold,250117,132,rural,49.91,66.82,59
146.4,0.61,Gold,129752,120,student,163.83,10.56,13
391.3,0.86,Gold,49324,127,student,6.22,105.72,69
329.4,0.9,Emergency Fund,67003,117,rural,10.52,84.96,69
517.12,0.64,Marriage,562397,168,urban,53.7,139.65,51
410.64,0.87,House Downpayment,637562,172,rural,89.05,95.46,60
1005.84,0.72,Emergency Fund,147203,139,urban,5.66,346.74,74
2004.23,0.79,Education,387622,93,urban,6.76,764.49,90
526.71,0.97,Education,382891,125,rural,31.77,160.68,88
163.8,0.6,Emergency Fund,56237,170,student,,,5
323.85,0.85,Education,443817,149,rural,84.61,69.94,55
2036.3,0.7,Marriage,228967,101,urban,3.94,774.12,79
356.4,0.6,Education,170444,97,rural,21.9,103.76,52
691.84,0.92,House Downpayment,1013120,181,rural,66.11,204.34,81
2428.79,0.91,House Downpayment,1187325,170,urban,17.52,903.52,100
443.68,0.94,Bike,117255,95,rural,11.21,139.47,88
346.88,0.64,Gold,271710,125,rural,40.82,88.75,49
359.31,0.87,House Downpayment,1625905,122,student,228.38,94.92,68
67.67,0.67,Education,346070,120,student,,,5
224.8,0.8,House Downpayment,1418652,71,student,307.47,61.52,65
2549.85,0.89,Bike,93615,102,urban,1.27,979.14,100
1239.2,0.8,Education,246636,137,urban,7.46,440.88,85
402.16,0.88,Marriage,354580,161,rural,49.01,96.46,63
1951.04,0.67,Bike,116515,191,urban,2.21,704.02,72
1410.4,0.8,House Downpayment,858961,129,urban,22.34,512.56,87
83.64,0.68,Gold,100112,105,student,,,5
441.32,0.68,Emergency Fund,58189,95,rural,5.6,138.53,64
149.04,0.92,Marriage,518096,132,student,1013.49,6.82,12
111.25,0.89,Bike,102488,144,student,,,5
1730.16,0.81,Education,369439,170,urban,7.89,624.06,87
264.13,0.61,Gold,193369,160,rural,61.9,41.65,28
325.62,0.67,Emergency Fund,130262,146,rural,24.17,71.85,44
509.74,0.77,Gold,60371,120,rural,5.16,155.9,70
246.16,0.68,Bike,125900,128,rural,35.52,47.26,39
1043.77,0.91,Education,404163,110,urban,14.43,373.51,97
65.65,0.65,House Downpayment,1699658,84,student,,,5
366.68,0.89,Education,397575,136,student,57.45,92.27,67
234.3,0.66,Gold,132850,140,student,46.96,37.72,31
154.24,0.64,Gold,111134,134,student,183.03,8.1,10
310.5,0.9,Education,341145,113,rural,57.58,79.0,68
322.05,0.95,Education,401435,156,student,80.59,66.42,58
306.36,0.74,Bike,115332,150,student,24.59,62.54,45
1589.16,0.82,Marriage,725030,89,urban,16.11,600.06,92
541.44,0.64,Bike,93745,121,urban,7.43,168.18,59
172.9,0.7,Education,328938,124,student,224.22,19.56,23
403.26,0.78,Gold,183006,166,rural,25.71,94.9,55
104.14,0.82,Bike,145523,125,student,,,5
1647.91,0.71,Emergency Fund,88458,123,urban,1.93,609.96,78
366.75,0.75,Bike,78424,161,student,12.71,82.3,50
210.42,0.63,Bike,125039,202,rural,495.01,3.37,5
177.39,0.73,Emergency Fund,104422,186,student,,,5
256.75,0.65,House Downpayment,1257284,126,student,320.53,52.3,39
886.95,0.73,House Downpayment,613213,109,urban,26.27,311.18,76
560.52,0.81,Bike,80948,119,rural,6.11,176.61,76
1876.74,0.93,Education,259548,163,urban,5.05,685.5,100
220.11,0.69,Education,317424,150,rural,150.92,28.04,26
500.18,0.89,Marriage,456475,107,rural,38.7,157.27,83
543.03,0.69,Emergency Fund,94027,113,rural,7.29,172.01,65
208.65,0.65,Education,198569,78,student,50.66,52.26,48
353.76,0.88,Marriage,529907,142,student,83.41,84.7,63
290.55,0.65,House Downpayment,1961927,143,student,443.22,59.02,39
286.28,0.68,House Downpayment,1031775,120,rural,206.83,66.51,47
420.48,0.72,Marriage,518302,91,rural,52.44,131.79,67
500.52,0.97,Emergency Fund,85397,101,rural,7.12,159.81,92
1753.92,0.84,Bike,82753,131,urban,1.7,649.17,93
2071.08,0.99,Bike,146332,96,urban,2.47,790.03,100
313.96,0.94,Emergency Fund,97506,125,student,17.2,75.58,67
157.32,0.69,Marriage,383168,112,student,281.82,18.13,23
288.75,0.75,Education,433005,140,rural,97.03,59.5,46
1893.38,0.82,Bike,111427,163,urban,2.15,692.15,89
432.39,0.87,Gold,275531,148,rural,32.29,113.76,68
236.22,0.62,House Downpayment,551802,103,rural,138.07,53.29,41
809.76,0.84,House Downpayment,558514,124,urban,27.15,274.3,85
1643.46,0.86,Education,161711,126,urban,3.55,606.98,95
806.4,0.84,Gold,295358,128,urban,14.51,271.36,84
1313.16,0.62,Education,484351,148,urban,13.86,466.06,66
163.53,0.79,Gold,172678,170,student,,,5
273.6,0.8,Education,443076,155,rural,124.53,47.44,41
535.44,0.97,Education,457897,116,rural,36.39,167.78,91
1631.34,0.81,Gold,89615,168,urban,2.04,585.34,87
1526.84,0.82,Bike,64517,170,urban,1.58,542.74,87
2726.88,0.92,Bike,109322,89,urban,1.38,1055.15,100
287.62,0.73,Education,316178,118,student,62.13,67.85,51
248.8,0.8,Emergency Fund,141958,115,rural,35.37,53.52,51
373.5,0.83,Gold,292134,142,student,42.06,92.6,61
1890.12,0.76,Marriage,741555,130,urban,14.04,704.05,84
264.87,0.81,Bike,98670,130,student,24.39,53.95,49
1863.96,0.84,Education,448563,80,urban,8.38,713.58,96
179.35,0.85,Emergency Fund,26184,146,student,26.17,13.34,18
556.8,0.87,Marriage,319343,119,rural,24.31,175.12,82
118.68,0.86,House Downpayment,737457,92,student,921.36,10.67,23
218.29,0.83,Marriage,492014,113,student,155.76,42.12,48
1178.87,0.77,Emergency Fund,37840,130,urban,1.2,419.55,82
1884.96,0.99,Education,181067,134,urban,3.45,700.38,100
316.84,0.89,Emergency Fund,72886,124,rural,12.6,77.14,65
354.12,0.78,Gold,159582,89,student,20.06,106.05,70
1637.36,0.97,Bike,147885,128,urban,3.27,603.74,100
276.75,0.75,Bike,129179,118,rural,27.12,63.5,51
349.35,0.85,Marriage,293904,138,student,46.35,84.54,61
540.2,0.74,House Downpayment,1859422,145,rural,156.83,158.08,64
122.85,0.91,Education,401458,154,student,,,5
1560.6,0.85,Bike,78361,163,urban,1.87,559.04,91
450.14,0.71,Marriage,724530,120,rural,73.15,132.06,62
1879.92,0.63,House Downpayment,1715719,117,urban,32.44,705.17,70
108.24,0.66,Education,105274,163,student,,,5
396.6,0.6,Bike,56999,124,rural,6.97,109.04,49
269.0,1.0,House Downpayment,1157824,119,student,257.29,60.0,66
124.62,0.62,Marriage,769143,111,student,1882.39,5.45,8
434.88,0.96,Education,308752,151,student,36.25,113.55,75
2039.25,0.75,House Downpayment,899825,129,urban,15.7,764.1,84
553.35,0.93,Gold,158588,126,rural,12.37,170.94,86
250.1,0.82,Marriage,434707,119,rural,110.53,52.44,51
179.34,0.98,Marriage,422422,106,student,191.99,29.34,48
2720.0,1.0,Emergency Fund,124906,114,urban,1.6,1042.4,100
554.4,0.88,Marriage,608863,98,rural,44.47,182.56,86
626.04,0.94,Education,363252,92,rural,22.67,213.62,96
1999.2,0.68,Education,217826,164,urban,3.96,734.08,74
604.8,0.9,Marriage,670519,132,rural,47.27,189.12,84
403.99,0.71,Gold,58017,100,rural,6.36,121.6,64
644.91,0.83,Emergency Fund,49050,143,rural,3.26,200.76,77
168.72,0.74,Education,325585,161,student,1405.81,3.09,5
297.54,0.87,Education,285155,117,rural,52.65,72.22,63
110.84,0.68,Gold,70450,138,student,,,5
230.67,0.99,House Downpayment,1005913,112,student,282.55,47.47,61
199.8,0.6,Gold,64060,121,rural,27.1,31.52,28
1009.59,0.73,Emergency Fund,134851,111,urban,5.0,359.44,77
169.58,0.61,Gold,165951,145,student,225.05,9.83,10
301.71,0.89,Gold,238295,144,student,50.37,63.08,55
322.92,0.78,House Downpayment,915197,105,student,139.99,87.17,63
209.88,0.66,Gold,221034,158,rural,142.02,20.75,19
1784.25,0.61,Education,495999,146,urban,10.09,655.3,67
1409.85,0.65,Emergency Fund,81663,127,urban,2.12,513.14,70
507.36,0.84,Education,466679,117,rural,39.85,156.14,77
1756.67,0.97,Bike,83362,145,urban,1.72,644.67,100
1501.28,0.88,Emergency Fund,142066,91,urban,3.36,564.11,99
270.9,0.63,Bike,64755,99,rural,12.56,68.76,47
1957.14,0.83,Bike,99697,117,urban,1.81,736.06,93
241.92,0.84,Bike,143079,107,student,35.35,53.97,56
333.9,0.9,House Downpayment,717679,122,rural,112.9,84.76,68
1526.58,0.66,House Downpayment,1565656,92,urban,36.38,573.83,74
203.49,0.63,Emergency Fund,85345,123,rural,35.34,32.2,29
494.32,0.74,House Downpayment,756324,143,rural,71.76,140.53,63
469.78,0.83,Gold,285347,136,rural,28.5,133.51,70
416.77,0.71,Gold,57761,155,rural,7.36,104.71,53
231.2,0.68,Emergency Fund,122732,126,student,38.89,42.08,37
613.8,0.99,House Downpayment,1871754,140,rural,131.68,189.52,91
306.0,1.0,Emergency Fund,34110,175,student,8.68,52.4,51
516.36,0.78,Emergency Fund,83160,127,rural,7.12,155.74,70
1814.71,0.89,Emergency Fund,112153,140,urban,2.23,669.88,98
1667.7,0.9,Gold,293480,110,urban,6.28,623.08,100
1882.98,0.66,Bike,148791,149,urban,2.86,693.59,72
99.56,0.76,House Downpayment,607462,118,student,,,5
168.15,0.95,House Downpayment,1238545,173,student,,,5
363.66,0.87,Marriage,540519,172,rural,94.01,76.66,55
1181.88,0.67,Marriage,528248,131,urban,16.76,420.35,71
932.1,0.78,Marriage,639642,192,urban,28.81,296.04,74
493.75,0.79,Bike,123258,176,rural,12.93,127.1,61
484.5,0.75,Gold,105566,140,rural,10.21,137.8,63
84.24,0.78,Gold,184747,133,student,,,5
161.28,0.96,Marriage,321468,115,student,231.54,18.51,33
529.1,0.74,House Downpayment,1265776,152,rural,111.89,150.84,63
651.63,0.87,Gold,109397,134,rural,7.04,207.05,82
263.04,0.64,Marriage,436082,100,student,89.16,65.22,47
373.35,0.95,Gold,276783,118,rural,36.13,102.14,77
343.62,0.69,Emergency Fund,115812,150,rural,19.94,77.45,46
526.22,0.83,Gold,53390,110,rural,4.28,166.49,78
471.04,0.92,Marriage,693756,146,rural,71.15,130.02,76
730.78,0.61,Marriage,550096,147,urban,31.41,233.51,58
312.75,0.75,House Downpayment,1712791,100,student,268.36,85.1,61
701.22,0.93,Bike,133054,128,rural,7.74,229.29,91
176.54,0.91,Marriage,717615,109,student,354.17,27.02,41
493.0,0.85,House Downpayment,1744233,158,rural,173.56,134.0,69
667.8,0.63,Education,110341,111,urban,6.61,222.72,63
1707.81,0.87,Emergency Fund,57783,111,urban,1.21,638.72,97
165.92,0.61,Gold,91793,141,student,122.78,9.97,10
162.0,0.81,Gold,124143,161,student,4138.1,0.4,5
1720.78,0.97,Emergency Fund,103009,148,urban,2.18,629.11,100
1074.06,0.81,Bike,59654,119,urban,2.08,382.02,86
1704.82,0.83,Gold,123332,140,urban,2.63,625.93,91
1547.6,0.73,Education,434802,141,urban,10.3,562.64,79
333.64,0.76,Emergency Fund,43328,127,rural,6.99,82.66,56
249.56,0.68,Marriage,750800,109,rural,178.05,56.22,45
491.72,0.76,Education,197027,169,rural,20.35,129.09,59
417.6,0.6,Bike,124574,126,rural,14.24,116.64,50
734.58,0.63,Marriage,493825,124,urban,26.96,244.23,62
549.82,0.74,Marriage,716009,147,rural,59.25,161.13,65
973.56,0.61,Education,211730,158,urban,8.65,326.22,61
344.35,0.71,Marriage,213071,140,rural,34.76,81.74,50
2176.26,0.83,Gold,117599,194,urban,1.98,792.9,90
750.91,0.61,Bike,130320,152,urban,7.25,239.56,58
795.72,0.76,Emergency Fund,104319,107,urban,5.05,275.49,78
258.33,0.79,Bike,81011,126,student,20.41,52.93,48
153.66,0.78,Marriage,237897,144,student,820.9,3.86,5
108.33,0.69,House Downpayment,1921219,138,student,,,5
438.85,0.67,Gold,99484,120,rural,10.4,127.54,58
716.38,0.98,Gold,272982,135,rural,15.65,232.55,95
220.16,0.86,Bike,60366,119,student,19.89,40.46,47
556.92,0.78,Bike,112921,80,rural,7.89,190.77,80
396.8,0.8,Gold,176109,116,rural,20.91,112.32,67
626.08,0.86,Bike,119412,147,rural,8.31,191.63,78
868.6,0.86,Gold,235914,169,urban,11.24,279.84,83
159.34,0.62,Emergency Fund,141848,184,student,,,5
117.26,0.82,Marriage,313710,157,student,,,5
302.72,0.64,Education,491687,75,rural,71.97,91.09,57
174.24,0.88,Education,220031,155,student,381.2,7.7,11
250.58,0.67,House Downpayment,1605839,119,rural,406.81,52.63,42
1406.79,0.77,House Downpayment,1312979,136,urban,34.44,508.32,83
675.28,0.92,Gold,296875,127,rural,18.05,219.31,89
244.4,0.65,Gold,101801,169,student,45.0,30.16,24
2114.1,0.9,Education,266633,140,urban,4.5,789.64,100
1359.6,0.88,Emergency Fund,100945,108,urban,2.69,500.64,97
539.6,0.76,Emergency Fund,83762,160,rural,7.36,151.84,64
1066.92,0.68,Marriage,534072,158,urban,19.59,363.57,69
270.56,0.89,Emergency Fund,86801,153,rural,24.61,47.02,46
839.52,0.88,Marriage,540009,116,urban,24.88,289.41,91
1640.02,0.86,House Downpayment,660237,90,urban,14.2,620.01,97
486.18,0.74,Gold,292558,138,rural,28.01,139.27,63
270.97,0.79,Bike,98187,124,student,22.27,58.79,51
565.46,0.98,House Downpayment,1873807,149,rural,149.98,166.58,86
654.12,0.92,Emergency Fund,37599,149,rural,2.48,202.05,85
172.2,0.82,Emergency Fund,25007,147,student,33.08,10.08,14
438.84,0.92,House Downpayment,1049789,155,rural,123.28,113.54,71
404.06,0.89,Gold,133798,151,rural,17.62,101.22,66
225.4,0.92,Gold,157961,121,student,50.43,41.76,51
200.7,0.9,Emergency Fund,31222,132,student,15.15,27.48,36
491.76,0.72,Education,205136,129,rural,18.85,145.1,63
381.27,0.71,House Downpayment,968618,162,rural,147.25,87.71,48
247.27,0.79,Gold,290328,132,student,83.96,46.11,44
835.06,0.86,Bike,109586,98,urban,4.96,294.82,91
1127.1,0.78,Gold,110418,110,urban,3.62,406.84,84
1533.88,0.62,Bike,64791,123,urban,1.53,564.35,68
692.0,1.0,House Downpayment,508523,130,rural,30.16,224.8,97
2382.2,0.86,House Downpayment,1706157,105,urban,24.97,910.88,98
491.38,0.79,Gold,269245,127,rural,24.63,145.75,70
630.08,0.88,Gold,277155,170,rural,20.08,184.03,77
318.75,0.75,Education,415570,157,student,85.64,64.7,45
503.88,0.76,House Downpayment,787905,124,rural,69.14,151.95,68
170.2,0.74,Emergency Fund,142025,123,student,100.3,18.88,24
1387.32,0.66,Emergency Fund,138384,164,urban,3.77,489.33,69
181.17,0.61,Bike,63954,130,student,41.66,20.47,20
369.0,0.82,Marriage,629565,116,rural,82.95,101.2,67
462.33,0.99,Education,416906,132,rural,42.07,132.13,84
474.3,0.9,Education,412678,133,rural,40.3,136.52,77
225.06,0.93,Bike,114191,105,student,31.7,48.02,59
164.72,0.71,House Downpayment,935779,117,student,653.66,19.09,24
308.75,0.95,Gold,246385,164,student,56.74,57.9,53
